n_number,first_name,last_name,email,gpa,grad_year,street,city,state,postal_code
N89365,Janet,Dunsire,jdunsire6p@nyu.edu,0.573,2024,57 Lake View Center,Young America,MN,55573
N70090,Lauryn,Breeder,lbreeder6q@nyu.edu,3.715,2027,64315 Artisan Center,El Paso,TX,79950
N43799,Sharlene,Jowsey,sjowsey6r@nyu.edu,3.923,2025,847 Express Pass,High Point,NC,27264
N69057,Kip,Hocking,khocking6s@nyu.edu,2.009,2023,61 Mcguire Avenue,Philadelphia,PA,19093
N59333,Noell,Stuehmeyer,nstuehmeyer6t@nyu.edu,0.77,2023,74 Union Place,Silver Spring,MD,20910
N63700,Mariellen,Petrozzi,mpetrozzi6u@nyu.edu,3.005,2025,4338 Meadow Vale Junction,New York City,NY,10060
N41476,Rees,Crisell,rcrisell6v@nyu.edu,0.994,2023,7 Becker Trail,San Antonio,TX,78205
N48973,Stepha,Raycroft,sraycroft6w@nyu.edu,1.349,2025,7 Summerview Alley,Rochester,NY,14683
N51475,Rhonda,Klemencic,rklemencic6x@nyu.edu,3.106,2027,225 North Court,Maple Plain,MN,55572
N77141,Imogene,Chipping,ichipping6y@nyu.edu,0.393,2027,23 Sutteridge Parkway,Greenville,SC,29605
N41134,Mimi,Jaggar,mjaggar6z@nyu.edu,1.305,2024,23 Manitowish Terrace,Birmingham,AL,35225
N52084,Katrinka,Casson,kcasson70@nyu.edu,1.175,2027,4 Knutson Place,Buffalo,NY,14205
N60173,Deidre,Duerden,dduerden71@nyu.edu,3.949,2025,0446 Buell Pass,Salt Lake City,UT,84189
N72866,Jessie,Harling,jharling72@nyu.edu,1.792,2026,90 Atwood Drive,Riverside,CA,92513
N73273,Harriette,Berrill,hberrill73@nyu.edu,0.947,2024,8501 Sachs Terrace,Columbus,OH,43215
N62576,Deerdre,Hazeldean,dhazeldean74@nyu.edu,0.652,2026,40 Scofield Circle,Huntington,WV,25726
N86195,Carlye,Goodbarne,cgoodbarne75@nyu.edu,2.967,2026,4113 Reinke Avenue,Oklahoma City,OK,73157
N73196,Consuelo,Dowderswell,cdowderswell76@nyu.edu,2.71,2024,17 Truax Crossing,Evansville,IN,47732
N57494,Norby,Garrioch,ngarrioch77@nyu.edu,1.443,2027,90822 Bashford Way,Fort Worth,TX,76147
N77997,Latia,Bowbrick,lbowbrick78@nyu.edu,0.286,2026,32 Nelson Trail,Scranton,PA,18514
N76099,Belia,Westmerland,bwestmerland79@nyu.edu,2.835,2027,75197 Calypso Plaza,Pensacola,FL,32590
N53420,Christoph,Bickford,cbickford7a@nyu.edu,1.045,2026,2 Fairview Place,Savannah,GA,31410
N70086,Yurik,Bane,ybane7b@nyu.edu,1.507,2023,2 Menomonie Junction,Richmond,VA,23228
N38116,Di,Henderson,dhenderson7c@nyu.edu,1.78,2024,182 Crescent Oaks Lane,Saint Louis,MO,63169
N64630,Mitchell,Yeomans,myeomans7d@nyu.edu,2.38,2025,2886 Spohn Way,Fort Wayne,IN,46805
N77011,Goldie,Fruen,gfruen7e@nyu.edu,1.156,2025,10208 Forster Street,Erie,PA,16565
N56630,Tanitansy,Tutton,ttutton7f@nyu.edu,3.036,2023,552 Graceland Hill,Topeka,KS,66642
N69377,Eydie,Patinkin,epatinkin7g@nyu.edu,3.928,2027,52059 Atwood Park,Kansas City,MO,64142
N80786,Emerson,Kemetz,ekemetz7h@nyu.edu,1.087,2026,77116 Magdeline Terrace,Atlanta,GA,30306
N80370,Lucy,Downie,ldownie7i@nyu.edu,1.783,2023,11877 Dennis Place,Newport Beach,CA,92662
N56937,Herve,Abrashkov,habrashkov7j@nyu.edu,1.248,2023,3 Clemons Trail,Lexington,KY,40591
N38871,Christalle,Le Noir,clenoir7k@nyu.edu,3.629,2023,5083 Killdeer Place,Southfield,MI,48076
N66246,Rod,O'Sharkey,rosharkey7l@nyu.edu,2.109,2025,243 Loeprich Drive,Hartford,CT,06160
N42536,Audrie,Bartosik,abartosik7m@nyu.edu,2.075,2023,8620 Schlimgen Plaza,Raleigh,NC,27635
N42470,Olwen,Dumbleton,odumbleton7n@nyu.edu,0.51,2023,6 Hauk Place,El Paso,TX,79940
N51781,Jane,Ungerer,jungerer7o@nyu.edu,0.754,2024,8210 Mendota Junction,Washington,DC,20022
N47556,Frasco,Goodfellow,fgoodfellow7p@nyu.edu,1.421,2027,9330 Stone Corner Pass,Houston,TX,77240
N43375,Dillie,Wolland,dwolland7q@nyu.edu,3.923,2026,3606 Corry Point,Bradenton,FL,34210
N81602,Elladine,Flatt,eflatt7r@nyu.edu,0.982,2026,7711 Sherman Center,Denver,CO,80270
N85376,Sydelle,MacDonogh,smacdonogh7s@nyu.edu,1.09,2026,18 Graceland Point,Richmond,VA,23272
N57998,Ruthanne,MacAndie,rmacandie7t@nyu.edu,3.375,2027,94 Stone Corner Pass,Arlington,VA,22234
N69667,Jewelle,Wilshere,jwilshere7u@nyu.edu,1.094,2024,5796 Union Terrace,Atlanta,GA,30328
N79937,Laure,Gitting,lgitting7v@nyu.edu,3.255,2025,5 Farwell Circle,South Lake Tahoe,CA,96154
N76176,Jone,Krink,jkrink7w@nyu.edu,1.763,2025,9 Tennyson Road,Tampa,FL,33680
N85191,Ruprecht,Daine,rdaine7x@nyu.edu,0.951,2024,80 Blackbird Hill,Milwaukee,WI,53220
N68416,Gracie,Klausewitz,gklausewitz7y@nyu.edu,0.31,2023,46 Stang Street,Birmingham,AL,35225
N81525,Halette,Clewarth,hclewarth7z@nyu.edu,0.371,2025,00 Milwaukee Trail,Charlotte,NC,28242
N88058,Thomasin,Fogden,tfogden80@nyu.edu,2.795,2026,00 Morrow Hill,Columbia,SC,29203
N70444,Nathan,Hendrix,nhendrix81@nyu.edu,3.575,2026,5520 Crest Line Avenue,Macon,GA,31210
N35316,Merle,Cornuau,mcornuau82@nyu.edu,3.019,2024,8 Pleasure Circle,Columbus,OH,43268
N46750,Roobbie,Bonnor,rbonnor83@nyu.edu,1.13,2026,42315 Banding Center,Tampa,FL,33661
N73485,Candice,Castella,ccastella84@nyu.edu,3.914,2023,62568 Clarendon Drive,Boston,MA,02109
N88783,Rolando,Nieass,rnieass85@nyu.edu,2.021,2026,426 Monica Avenue,Rockford,IL,61105
N79161,Harwilll,Bogays,hbogays86@nyu.edu,1.086,2025,76 Carioca Avenue,Minneapolis,MN,55441
N49377,Therine,Elvins,telvins87@nyu.edu,0.005,2023,53910 Vernon Pass,Milwaukee,WI,53263
N47815,Dannel,Spincke,dspincke88@nyu.edu,2.467,2026,91 Annamark Way,Miami,FL,33175
N49521,Jeth,Warren,jwarren89@nyu.edu,2.345,2027,77 Jackson Trail,Virginia Beach,VA,23471
N57414,Jamill,O'Hannigan,johannigan8a@nyu.edu,1.039,2025,38344 Nancy Street,Pittsburgh,PA,15274
N73371,Masha,Zarb,mzarb8b@nyu.edu,3.195,2025,17691 Merry Avenue,Peoria,IL,61640
N47335,Loni,Runnett,lrunnett8c@nyu.edu,3.006,2026,05 Warner Pass,Raleigh,NC,27615
N87122,Reg,Duigenan,rduigenan8d@nyu.edu,2.116,2026,61 Maryland Lane,Hialeah,FL,33018
N41361,Caprice,Hirtzmann,chirtzmann8e@nyu.edu,0.004,2025,9014 Ridgeway Lane,Indianapolis,IN,46202
N61942,Darn,Robiot,drobiot8f@nyu.edu,0.365,2027,369 Beilfuss Trail,Charlotte,NC,28272
N82312,Kyle,Eastlake,keastlake8g@nyu.edu,1.391,2025,942 Cascade Lane,Topeka,KS,66622
N78643,Iolande,Gammill,igammill8h@nyu.edu,3.986,2027,64334 Loftsgordon Plaza,Silver Spring,MD,20918
N62106,Rosabella,Trusdale,rtrusdale8i@nyu.edu,2.759,2024,919 Judy Court,Detroit,MI,48224
N47885,Aluino,Hendrich,ahendrich8j@nyu.edu,0.755,2025,511 Park Meadow Lane,San Francisco,CA,94116
N74542,Nara,Reardon,nreardon8k@nyu.edu,0.413,2027,833 Kropf Hill,Macon,GA,31205
N87605,Halimeda,Ommanney,hommanney8l@nyu.edu,1.974,2024,4766 Gale Drive,Missoula,MT,59806
N53729,Sal,Stiell,sstiell8m@nyu.edu,1.824,2023,1603 Harper Point,Modesto,CA,95397
N58936,Jefferson,McCoole,jmccoole8n@nyu.edu,2.33,2027,93 Mifflin Avenue,Lehigh Acres,FL,33972
N45821,Bink,Hargreves,bhargreves8o@nyu.edu,2.39,2027,972 Johnson Parkway,Erie,PA,16510
N64083,Hildy,McTrustey,hmctrustey8p@nyu.edu,0.186,2023,72418 Bunker Hill Junction,Shreveport,LA,71115
N89007,Cecilio,Klaaasen,cklaaasen8q@nyu.edu,2.251,2024,44 Arkansas Avenue,Milwaukee,WI,53234
N58174,Brion,Douris,bdouris8r@nyu.edu,1.034,2026,63 Golf View Crossing,Greenville,SC,29605
N64653,Bernardo,Catanheira,bcatanheira8s@nyu.edu,3.835,2023,488 Oak Park,Sacramento,CA,94237
N58395,Nickolai,Pedley,npedley8t@nyu.edu,0.154,2025,194 Carberry Junction,Orange,CA,92862
N37911,Ansel,Klas,aklas8u@nyu.edu,0.923,2027,449 Arizona Parkway,Cincinnati,OH,45218
N67217,Porter,Bentick,pbentick8v@nyu.edu,2.833,2023,867 Hazelcrest Drive,Temple,TX,76505
N76402,Tanner,Jerschke,tjerschke8w@nyu.edu,2.338,2024,9 Magdeline Parkway,Kalamazoo,MI,49006
N43897,Reinhold,Winsley,rwinsley8x@nyu.edu,1.555,2026,74880 1st Way,Austin,TX,78759
N45197,Peggi,Randleson,prandleson8y@nyu.edu,1.337,2024,4273 Swallow Drive,Davenport,IA,52809
N35445,Janot,Mahony,jmahony8z@nyu.edu,3.71,2025,4097 High Crossing Road,Huntington,WV,25705
N63502,Evelin,Torrent,etorrent90@nyu.edu,0.975,2026,14 Bayside Alley,Phoenix,AZ,85067
N53776,Sherry,Hubbold,shubbold91@nyu.edu,0.427,2027,8 Lake View Lane,Fort Worth,TX,76147
N64157,Shaylah,Ciccottio,sciccottio92@nyu.edu,3.4,2027,8 Duke Parkway,Ventura,CA,93005
N62177,Joscelin,Tretwell,jtretwell93@nyu.edu,3.544,2025,1779 Lakewood Gardens Hill,Montgomery,AL,36177
N39876,Kaycee,Marzella,kmarzella94@nyu.edu,2.186,2025,02857 Declaration Alley,Beaufort,SC,29905
N48770,Lillis,Branston,lbranston95@nyu.edu,3.202,2024,04 Fair Oaks Avenue,Waltham,MA,02453
N79397,Rory,Grzegorzewski,rgrzegorzewski96@nyu.edu,0.145,2023,68104 Gerald Crossing,Lexington,KY,40505
N85013,Nichol,Attarge,nattarge97@nyu.edu,2.255,2023,61 Truax Road,New York City,NY,10009
N87516,Noelyn,Sturdy,nsturdy98@nyu.edu,0.371,2023,43595 Kedzie Place,Oklahoma City,OK,73197
N36288,Isak,Quarles,iquarles99@nyu.edu,3.244,2025,8762 Anthes Lane,Lexington,KY,40524
N86161,Skipp,Gerty,sgerty9a@nyu.edu,0.863,2024,0719 Messerschmidt Park,Oklahoma City,OK,73190
N38451,Durand,Impey,dimpey9b@nyu.edu,0.956,2027,97 Manitowish Lane,Beaufort,SC,29905
N64803,Nolana,Durden,ndurden9c@nyu.edu,2.435,2023,27102 Elgar Point,Schaumburg,IL,60193
N36614,Katrine,Painswick,kpainswick9d@nyu.edu,1.055,2025,625 Upham Parkway,Cincinnati,OH,45228
N57817,Cherianne,Easterby,ceasterby9e@nyu.edu,3.22,2024,1 Upham Parkway,Pompano Beach,FL,33064
N36130,Conway,Paiton,cpaiton9f@nyu.edu,0.458,2026,68 Vermont Hill,Atlanta,GA,31119
N42836,Vivia,Roles,vroles9g@nyu.edu,0.095,2023,9 Rigney Point,San Francisco,CA,94164
N65258,Devonna,Feander,dfeander9h@nyu.edu,1.117,2024,8 Pearson Road,Phoenix,AZ,85053
N57839,Gertrud,Sewards,gsewards9i@nyu.edu,1.535,2025,7 Prentice Park,Young America,MN,55551
N66227,Rudyard,Langabeer,rlangabeer9j@nyu.edu,2.834,2026,63020 Fulton Center,Charlotte,NC,28284
N78964,Rosalynd,Barrow,rbarrow9k@nyu.edu,0.06,2024,4706 Anderson Center,Atlanta,GA,31119
N69670,Huberto,Aurelius,haurelius9l@nyu.edu,0.117,2026,447 Clarendon Junction,Charlotte,NC,28220
N87136,Ephraim,Scutts,escutts9m@nyu.edu,1.805,2024,7657 Clarendon Alley,Fort Worth,TX,76105
N53329,Pierrette,Fullman,pfullman9n@nyu.edu,2.356,2023,80990 Del Sol Pass,New Orleans,LA,70154
N40408,Saba,Wharmby,swharmby9o@nyu.edu,2.276,2024,76543 Pine View Hill,Minneapolis,MN,55423
N64423,Ariel,Schutter,aschutter9p@nyu.edu,3.001,2027,1041 Toban Lane,Inglewood,CA,90398
N52157,Rodie,Gawthrope,rgawthrope9q@nyu.edu,1.79,2025,97864 Milwaukee Road,San Francisco,CA,94105
N80604,Blisse,Carnachen,bcarnachen9r@nyu.edu,0.012,2026,9511 Colorado Lane,Springfield,IL,62776
N46297,Reinold,Kobus,rkobus9s@nyu.edu,2.019,2023,473 Fair Oaks Street,Columbia,SC,29225
N67082,Rusty,Emson,remson9t@nyu.edu,1.877,2024,97282 American Ash Parkway,Portsmouth,VA,23705
N69469,Norina,Lownds,nlownds9u@nyu.edu,3.266,2024,72292 Oakridge Court,Gastonia,NC,28055
N73548,Selestina,Raddan,sraddan9v@nyu.edu,3.027,2024,447 Riverside Trail,Carson City,NV,89714
N78967,Viv,D'Ambrogio,vdambrogio9w@nyu.edu,3.985,2026,37 Bunting Terrace,Atlanta,GA,30358
N57576,Carlota,Scyone,cscyone9x@nyu.edu,2.233,2027,40298 Fuller Road,Iowa City,IA,52245
N56254,Elora,Riccard,ericcard9y@nyu.edu,1.53,2025,52 Larry Crossing,Troy,MI,48098
N60964,Dulci,Godbolt,dgodbolt9z@nyu.edu,1.588,2026,480 Declaration Pass,Roanoke,VA,24014
N68919,Steven,Kyffin,skyffina0@nyu.edu,0.637,2023,349 Eagle Crest Alley,Alexandria,VA,22333
N88701,Derrek,Ryding,drydinga1@nyu.edu,3.621,2025,84111 Stone Corner Drive,Hartford,CT,06152
N41400,Pace,Ashby,pashbya2@nyu.edu,2.356,2024,8 Commercial Way,Fort Pierce,FL,34981
N67330,Agace,Maginn,amaginna3@nyu.edu,0.544,2023,429 Fuller Drive,Scottsdale,AZ,85255
N73056,Eolanda,Reame,ereamea4@nyu.edu,0.793,2023,41 Pleasure Lane,Santa Monica,CA,90405
N44686,Josy,Ferfulle,jferfullea5@nyu.edu,2.03,2026,6095 Bartillon Drive,San Diego,CA,92196
N34636,Kippie,Gianneschi,kgianneschia6@nyu.edu,3.557,2023,2 Mitchell Court,Billings,MT,59112
N86432,Stanley,Mateev,smateeva7@nyu.edu,0.097,2025,225 Milwaukee Road,Austin,TX,78783
N69606,Shayne,Girke,sgirkea8@nyu.edu,2.893,2026,5547 Browning Crossing,San Diego,CA,92191
N76885,Taylor,Sivewright,tsivewrighta9@nyu.edu,2.006,2027,3916 Hayes Street,Tucson,AZ,85754
N87782,Nonna,Demeter,ndemeteraa@nyu.edu,3.388,2025,91673 Sunfield Plaza,Honolulu,HI,96815
N36779,Perl,Prate,pprateab@nyu.edu,3.397,2024,812 Gateway Road,Anaheim,CA,92825
N63770,Elly,Forcer,eforcerac@nyu.edu,1.17,2027,3431 Carey Park,San Antonio,TX,78265
N73452,Theodore,De Malchar,tdemalcharad@nyu.edu,1.79,2026,50491 Dayton Drive,Birmingham,AL,35231
N84002,Axe,Bister,abisterae@nyu.edu,2.356,2023,81 3rd Terrace,Tallahassee,FL,32309
N81030,Edsel,Davenport,edavenportaf@nyu.edu,1.7,2024,87827 Moland Lane,Indianapolis,IN,46278
N85728,Yorke,Minchell,yminchellag@nyu.edu,1.952,2024,54052 Eastwood Crossing,Austin,TX,78715
N76941,Johnathon,Harwell,jharwellah@nyu.edu,3.647,2025,275 Cherokee Lane,Sterling,VA,20167
N63655,Rycca,Sutliff,rsutliffai@nyu.edu,0.75,2025,0920 Northport Parkway,Pueblo,CO,81015
N84096,Anselma,Adicot,aadicotaj@nyu.edu,3.929,2024,0857 Miller Terrace,Shawnee Mission,KS,66205
N55932,Cherise,Cristofor,ccristoforak@nyu.edu,2.105,2024,002 Commercial Drive,Houston,TX,77288
N87357,Alyce,Hudleston,ahudlestonal@nyu.edu,3.863,2025,1 Tony Crossing,Minneapolis,MN,55423
N74082,Jill,Aberhart,jaberhartam@nyu.edu,2.46,2024,6 Dayton Place,Evansville,IN,47732
N85007,Rudolfo,Mendenhall,rmendenhallan@nyu.edu,1.524,2024,6 Alpine Plaza,Lansing,MI,48919
N72222,Madeline,Duke,mdukeao@nyu.edu,3.622,2027,597 Lighthouse Bay Hill,Peoria,IL,61651
N48952,Lancelot,Nijssen,lnijssenap@nyu.edu,2.47,2023,2687 Lakeland Place,Des Moines,IA,50981
N77564,Adelaide,Dubois,aduboisaq@nyu.edu,1.271,2026,697 Columbus Circle,Vero Beach,FL,32964
N61873,Toby,Reany,treanyar@nyu.edu,2.083,2023,10849 Drewry Drive,Mesa,AZ,85205
N59423,Carmelia,Ingle,cingleas@nyu.edu,2.118,2027,09 Bellgrove Street,Wilmington,NC,28405
N75127,Joyan,Skeermor,jskeermorat@nyu.edu,3.959,2024,08 Bayside Lane,Fairbanks,AK,99790
N70243,Palm,Badder,pbadderau@nyu.edu,3.121,2025,7 Cody Terrace,Cleveland,OH,44125
N60031,Anabel,Terris,aterrisav@nyu.edu,0.653,2026,9 Del Mar Center,Valley Forge,PA,19495
N85908,Cordy,Osmant,cosmantaw@nyu.edu,0.883,2023,1 Graedel Point,Houston,TX,77234
N40849,Andrea,Iorizzo,aiorizzoax@nyu.edu,3.28,2024,92 Esch Center,Santa Fe,NM,87592
N61626,Lorain,Pibworth,lpibworthay@nyu.edu,0.306,2025,2 Barby Alley,Paterson,NJ,07544
N41146,Barrie,Claricoats,bclaricoatsaz@nyu.edu,2.307,2025,441 Artisan Circle,Portland,OR,97229
N76645,Swen,Todman,stodmanb0@nyu.edu,0.893,2025,0 Sommers Court,Houston,TX,77090
N76029,Amabel,Hallatt,ahallattb1@nyu.edu,3.363,2024,717 Claremont Street,Inglewood,CA,90305
N42529,Jeniffer,Singh,jsinghb2@nyu.edu,0.293,2025,53512 Annamark Court,El Paso,TX,88569
N79255,Anabal,Fridd,afriddb3@nyu.edu,2.674,2026,735 Portage Terrace,Salt Lake City,UT,84105
N89435,Derrick,Wickmann,dwickmannb4@nyu.edu,2.003,2026,9 Vermont Alley,Orlando,FL,32825
N65161,Angelia,Balffye,abalffyeb5@nyu.edu,0.028,2024,43 Stoughton Way,Anaheim,CA,92805
N79866,Maggee,Broadfield,mbroadfieldb6@nyu.edu,2.415,2027,9529 Luster Terrace,Maple Plain,MN,55579
N42755,Gabby,Capini,gcapinib7@nyu.edu,1.322,2025,59 Kingsford Park,Paterson,NJ,07522
N35922,Susanne,Stuehmeyer,sstuehmeyerb8@nyu.edu,2.174,2023,66 High Crossing Junction,Washington,DC,20231
N35681,Venita,Minchinton,vminchintonb9@nyu.edu,1.608,2023,8 Oneill Pass,Philadelphia,PA,19125
N63695,Ingelbert,Greatbatch,igreatbatchba@nyu.edu,2.548,2025,51 Mccormick Avenue,Minneapolis,MN,55407
N58540,Gabi,Eixenberger,geixenbergerbb@nyu.edu,1.779,2024,70162 Banding Pass,El Paso,TX,79984
N35742,Brendin,Paoli,bpaolibc@nyu.edu,0.433,2026,94121 Sage Hill,Omaha,NE,68164
N45390,Aurelie,Mertel,amertelbd@nyu.edu,3.201,2027,42 Butterfield Point,Shawnee Mission,KS,66220
N64753,Melonie,Huck,mhuckbe@nyu.edu,1.965,2023,07915 Dennis Alley,Pinellas Park,FL,34665
N41294,Fiann,Lynde,flyndebf@nyu.edu,1.156,2027,63316 Meadow Vale Drive,San Bernardino,CA,92415
N57418,Dame,Defau,ddefaubg@nyu.edu,0.805,2026,128 Elka Hill,Greensboro,NC,27404
N47844,Helaina,Mc Elory,hmcelorybh@nyu.edu,2.946,2027,36890 Shelley Point,Alhambra,CA,91841
N61904,Ancell,Steel,asteelbi@nyu.edu,3.227,2025,89 Dayton Lane,Santa Barbara,CA,93106
N61111,Neall,Vassbender,nvassbenderbj@nyu.edu,0.611,2026,54 School Center,Colorado Springs,CO,80940
N74825,Celina,Prator,cpratorbk@nyu.edu,2.321,2027,7483 Corben Park,Bonita Springs,FL,34135
N83032,Delcina,Dyche,ddychebl@nyu.edu,2.076,2025,62189 Grasskamp Terrace,New York City,NY,10120
N49097,Brigida,Raphael,braphaelbm@nyu.edu,2.404,2027,89 Fairfield Way,South Bend,IN,46614
N85724,Pinchas,Turle,pturlebn@nyu.edu,3.994,2026,7 Carberry Crossing,Minneapolis,MN,55448
N70844,Jillene,Greatbanks,jgreatbanksbo@nyu.edu,1.386,2023,65 Division Street,Tulsa,OK,74126
N81890,Ricky,Blaydes,rblaydesbp@nyu.edu,2.266,2026,9820 Graceland Park,Kansas City,KS,66105
N50208,Antons,Kirrage,akirragebq@nyu.edu,2.885,2025,3367 Browning Trail,Fresno,CA,93709
N40778,Sallie,Rainy,srainybr@nyu.edu,0.129,2023,18986 Ohio Junction,Santa Ana,CA,92705
N42172,Robena,Frayling,rfraylingbs@nyu.edu,0.018,2025,727 La Follette Center,Louisville,KY,40287
N52360,Sherline,Cutress,scutressbt@nyu.edu,3.28,2026,09 Lien Avenue,Atlanta,GA,30306
N63426,Aloise,Westmancoat,awestmancoatbu@nyu.edu,1.582,2026,6 Westridge Junction,Pittsburgh,PA,15220
N71639,Lionel,Haining,lhainingbv@nyu.edu,1.995,2025,8863 East Crossing,Houston,TX,77271
N69356,Vevay,Gabala,vgabalabw@nyu.edu,0.47,2026,26206 Hauk Crossing,Little Rock,AR,72215
N66882,Amaleta,Wittleton,awittletonbx@nyu.edu,1.892,2026,71 Del Mar Center,Fort Lauderdale,FL,33310
N81893,Ashlan,Guppie,aguppieby@nyu.edu,1.502,2025,863 American Ash Parkway,Dallas,TX,75221
N55837,Keary,Britee,kbriteebz@nyu.edu,3.828,2025,430 Monument Parkway,Silver Spring,MD,20904
N46792,Valentina,Turner,vturnerc0@nyu.edu,0.514,2027,79 Loeprich Alley,Las Vegas,NV,89135
N68458,Barn,Matton,bmattonc1@nyu.edu,1.733,2024,23412 Dottie Way,Denver,CO,80217
N71532,Ignacius,Ion,iionc2@nyu.edu,0.994,2024,551 Rusk Center,Saint Louis,MO,63180
N51033,Carina,Flippelli,cflippellic3@nyu.edu,0.72,2025,5228 Birchwood Trail,Albuquerque,NM,87115
N57054,Malissia,O'Doghesty,modoghestyc4@nyu.edu,2.264,2023,2550 Kensington Alley,Jacksonville,FL,32255
N60912,Erie,Longworth,elongworthc5@nyu.edu,2.114,2026,976 Welch Hill,Houston,TX,77030
N56962,Blanche,Pucker,bpuckerc6@nyu.edu,0.401,2024,48 Algoma Court,New York City,NY,10004
N82096,Muriel,Aphale,maphalec7@nyu.edu,3.544,2026,8 High Crossing Avenue,Olympia,WA,98516
N60105,Taddeo,Shipcott,tshipcottc8@nyu.edu,0.217,2026,45279 Starling Center,Durham,NC,27717
N61725,Wally,McSkeagan,wmcskeaganc9@nyu.edu,3.46,2027,576 Glendale Park,Buffalo,NY,14225
N53535,Marian,Sails,msailsca@nyu.edu,0.316,2024,15 Petterle Court,Cleveland,OH,44185
N50472,Marie-jeanne,Cumber,mcumbercb@nyu.edu,0.487,2027,72836 East Way,Albany,NY,12237
N61966,Thoma,Losano,tlosanocc@nyu.edu,0.0,2027,316 Sommers Terrace,Sacramento,CA,94273
N83384,Garfield,Lohoar,glohoarcd@nyu.edu,3.006,2023,560 Lakewood Gardens Street,Fort Lauderdale,FL,33310
N43030,Braden,Jecock,bjecockce@nyu.edu,3.862,2023,04 Ronald Regan Street,New York City,NY,10009
N84787,Fania,Briddle,fbriddlecf@nyu.edu,0.545,2025,98475 Sunbrook Avenue,Lansing,MI,48930
N70729,Amata,Bridgement,abridgementcg@nyu.edu,3.734,2024,223 Garrison Terrace,Stockton,CA,95219
N75949,Retha,Jonke,rjonkech@nyu.edu,1.875,2025,1 New Castle Way,Saint Louis,MO,63158
N36583,Cort,Bollini,cbollinici@nyu.edu,0.819,2026,56 Bultman Park,Salt Lake City,UT,84189
N59305,Aubrette,Fealey,afealeycj@nyu.edu,0.131,2023,056 Glendale Parkway,Milwaukee,WI,53205
N37351,Sashenka,Gladstone,sgladstoneck@nyu.edu,2.854,2027,98266 Debra Drive,Reston,VA,20195
N46094,Vladimir,Ritmeyer,vritmeyercl@nyu.edu,0.986,2027,49 Thierer Street,Columbus,GA,31904
N88196,Valentino,Syncke,vsynckecm@nyu.edu,1.069,2025,1255 Hollow Ridge Way,Akron,OH,44310
N71466,Pate,Cannicott,pcannicottcn@nyu.edu,1.016,2024,09724 Longview Road,Flint,MI,48550
N73855,Kate,Robjohns,krobjohnsco@nyu.edu,3.207,2025,2145 Shoshone Avenue,Evansville,IN,47732
N70618,Berna,Vowles,bvowlescp@nyu.edu,3.471,2025,4 Heath Trail,Minneapolis,MN,55412
N76261,Brear,O'Loinn,boloinncq@nyu.edu,0.863,2025,57414 Arkansas Terrace,Pasadena,CA,91109
N76725,Karry,Noddings,knoddingscr@nyu.edu,0.408,2024,71 Cascade Place,Dayton,OH,45403
N81252,Holt,Pole,hpolecs@nyu.edu,2.969,2023,5 Annamark Drive,Baton Rouge,LA,70894
N65503,Shanie,Wadlow,swadlowct@nyu.edu,1.678,2026,756 Carberry Circle,Oakland,CA,94611
N54853,Davie,Alleyn,dalleyncu@nyu.edu,0.677,2025,39 Meadow Ridge Street,Charlotte,NC,28235
N47412,Catherine,Yashaev,cyashaevcv@nyu.edu,0.961,2026,5338 Vahlen Hill,Austin,TX,78789
N73381,Stella,Nowlan,snowlancw@nyu.edu,0.997,2026,2 Oriole Pass,Charleston,WV,25389
N36487,Lanny,Hastwall,lhastwallcx@nyu.edu,0.127,2025,70 Judy Trail,Ashburn,VA,22093
N77817,Jess,Chugg,jchuggcy@nyu.edu,0.889,2023,97139 Eastlawn Hill,San Francisco,CA,94105
N78500,Cora,Penlington,cpenlingtoncz@nyu.edu,2.084,2025,1446 Bashford Hill,Kansas City,KS,66112
N59911,Devin,Collisson,dcollissond0@nyu.edu,0.61,2026,8 Express Point,Salinas,CA,93907
N77886,Jared,Behnke,jbehnked1@nyu.edu,2.737,2023,28609 Surrey Court,Mesa,AZ,85210
N81050,Dotti,De Michele,ddemicheled2@nyu.edu,1.769,2027,0 Sommers Plaza,Rochester,MN,55905
N58667,Angelique,Barron,abarrond3@nyu.edu,0.63,2023,5 Kim Junction,Lexington,KY,40510
N79752,Frannie,Parradine,fparradined4@nyu.edu,1.988,2024,906 Mallory Terrace,North Hollywood,CA,91606
N74028,Daveen,Adolf,dadolfd5@nyu.edu,3.779,2025,7489 Anniversary Parkway,Valley Forge,PA,19495
N70071,Edwin,Revelle,erevelled6@nyu.edu,1.113,2024,7924 Alpine Trail,Denver,CO,80291
N56617,Loni,O'Crowley,locrowleyd7@nyu.edu,2.369,2023,2310 Melody Street,El Paso,TX,88541
N70978,Christyna,Franciskiewicz,cfranciskiewiczd8@nyu.edu,0.169,2024,6 Stoughton Parkway,Herndon,VA,22070
N37303,Arny,Collcott,acollcottd9@nyu.edu,1.007,2023,5 Heffernan Drive,Tacoma,WA,98442
N35270,Frannie,Janczewski,fjanczewskida@nyu.edu,3.446,2026,6380 Buena Vista Trail,Anchorage,AK,99507
N69254,Ervin,Taylour,etaylourdb@nyu.edu,1.095,2024,37004 Dakota Drive,Conroe,TX,77305
N68988,Milo,Wishart,mwishartdc@nyu.edu,0.435,2027,00352 Merrick Center,Denver,CO,80270
